Taylor Swift,11851150986
Ed Sheeran,11051251776
Bad Bunny,8582384112
Eminem,6183805568
The Weeknd,6038640732
Edison Lighthouse,NULL
Carin Leon and Grupo Frontera,2762
Arijit Singh and Vishal Dadlani and Sukriti Kakar,1365184
Mc Pedrinho and DJ 900,11956641
Offset and JID,24975652
