Moonlight,Kali Uchis,121
After Hours,The Weeknd,121
Dandelions,Ruth B.,121
SClass,Stray Kids,120
Riptide,Vance Joy,120
People,Libianca,120
El Merengue,Marshmello and Manuel Turizo,119
Without Me,Eminem,119
Do I Wanna Know,Arctic Monkeys,118
NULL,YOASOBI,118
All of Me,John Legend,118
Stay Alive Prod SUGA of BTS,Jung Kook,118
The Night We Met,Lord Huron,117
Enchanted,Taylor Swift,117
I AM,IVE,117
Enchanted Taylors Version,Taylor Swift,117
Hey Mor,Ozuna and Feid,117
Still Dont Know My Name,Labrinth,116
Christmas Tree,V,115
Envolver,Anitta,115
HUMBLE,Kendrick Lamar,115
BABY HELLO,Rauw Alejandro and Bizarrap,115
Super,SEVENTEEN,115
Mr Brightside,The Killers,114
Softcore,The Neighbourhood,114
Yonaguni,Bad Bunny,114
The Motto,Tiï¿½ï¿½sto and Ava,113
In Da Club,50 Cent,113
X SI VOLVEMOS,Karol G and Romeo Santos,113
Call Out My Name,The Weeknd,113
Apocalypse,Cigarettes After Sex,113
We Found Love,Rihanna and Calvin Harris,112
"Yandel ",Yandel and Feid,112
How Do I Say Goodbye,Dean Lewis,112
Good Days,SZA,111
Mistletoe,Justin Bieber,111
La Jumpa,Arcangel and Bad Bunny,111
The Color Violet,Tory Lanez,111
"Quevedo Bzrp Music Sessions Vol ",Bizarrap and Quevedo,110
AMARGURA,Karol G,110
NULL,Sidhu Moose Wala,110
Yet To Come,BTS,110
The Astronaut,Jin,109
Fast Car,Luke Combs,109
Escapism,RAYE and 070 Shake,109
NULL,Fujii Kaze,108
Here With Me,d4vd,108
Photograph,Ed Sheeran,108
Let It Snow Let It Snow Let It Snow,Frank Sinatra and B. Swanson Quartet,108
Ferrari,James Hype and Miggy Dela Rosa,107
Its the Most Wonderful Time of the Year,Andy Williams,107
ANTIFRAGILE,LE SSERAFIM,107
Thinkin B,Morgan Wallen,107
Easy On Me,Adele,107
Feliz Cumpleaos Fe,Feid,107
Nobody Gets Me,SZA,106
KICK BACK,Kenshi Yonezu,105
Sticky,Drake,105
Until I Found You,Stephen Sanchez,104
Cupid,Fifty Fifty,103
august,Taylor Swift,103
Reminder,The Weeknd,102
METAMORPHOSIS,INTERWORLD,102
Rich Flex,Drake and 21 Savage,102
Normal,Feid,102
You Belong With Me Taylors Ve,Taylor Swift,102
Chanel,Becky G and Peso Pluma,102
El Cielo,Feid and Myke Towers and Sky Rompiendo,102
MONTAGEM  FR PUNK,Ayparia and unxbected,102
What It Is Solo Version,Doechii,101
Dance The Night From Barbie The Album,Dua Lipa,101
CHORRITO PA LAS ANIMAS,Feid,101
Apna Bana Le From Bhediya,Arijit Singh and Sachin-Jigar,101
No Role Modelz,J. Cole,101
