lovely  Bonus Track,Billie Eilish and Khalid,2017,35
"Rauw Alejandro Bzrp Music Sessions Vol ",Rauw Alejandro and Bizarrap,2023,78
Queencard,(G)I-DLE,2023,82
OMG,NewJeans,2023,80
Radio,Lana Del Rey,2011,42
"Shakira Bzrp Music Sessions Vol ",Shakira and Bizarrap,2023,78
Trance with Travis Scott  Young Thug,Travis Scott and Young Thug and Metro Boomin,2022,75
Tere Vaaste From Zara Hatke Zara Bachke,Sachin-Jigar and Shadab Faridi and Altamash Farid,2023,76
Perfect,Ed Sheeran,2017,60
Romantic Homicide,d4vd,2022,56
Believer,Imagine Dragons,2017,77
Novo Balan,Veigh and Bvga Beatz and Supernova Ent and Prod M,2023,84
"Gol Bolinha Gol Quadrado ",Mc Pedrinho and DJ 900,2023,93
Without Me,Eminem,2002,92
Stargirl Interlude,The Weeknd and Lana Del Rey,2016,59
Ojitos Lindos,Bomba Estï¿½ï¿½reo and Bad B,2022,65
Somewhere Only We Know,Keane,2004,45
Those Eyes,New West,2019,60
El Gordo Trae El Mando,Chino Pacas,2023,74
Mi Bello Angel,Natanael Cano,2023,81
Nosso Quadro,Ana Castela and AgroPlay,2023,69
Locked Out Of Heaven,Bruno Mars,2012,73
"Un Finde  CROSSOVER ",Big One and FMK and Ke personajes,2023,50
Counting Stars,OneRepublic,2013,66
PRC,Natanael Cano and Peso Pluma,2023,78
One Dance,Drake and WizKid and Kyla,2016,77
Enchanted,Taylor Swift,2010,45
Sure Thing,Miguel,2010,68
"Every Breath You Take  Remastered ",The Police,1983,82
The Night We Met,Lord Huron,2015,45
We Found Love,Rihanna and Calvin Harris,2011,73
Let Me Down Slowly,Alec Benjamin,2018,65
Am I Dreaming Metro Boomin  AAP Rocky Roisee,A$AP Rocky and Metro Boomin and Roisee,2023,60
Do I Wanna Know,Arctic Monkeys,2013,55
Demons,Imagine Dragons,2012,33
NULL,YOASOBI,2023,57
Reminder,The Weeknd,2016,71
Shake It Off,Taylor Swift,2014,65
Whyd You Only Call Me When Youre High,Arctic Monkeys,2013,70
Shape of You,Ed Sheeran,2017,83
Creep,Radiohead,1992,53
Cars Outside,James Arthur,2019,34
Apocalypse,Cigarettes After Sex,2017,37
Cheques,Shubh,2023,74
Pink  White,Frank Ocean,2016,54
Just The Way You Are,Bruno Mars,2010,63
Take Me To Church,Hozier,2013,57
Bebe Dame,Fuerza Regida and Grupo Frontera,2022,54
You Belong With Me Taylors Ve,Taylor Swift,2021,63
Titi Me Pregunt,Bad Bunny,2022,65
Better Than Revenge Taylors Version,Taylor Swift,2023,50
Shut up My Moms Calling,Hotel Ugly,2020,48
