Edison Lighthouse,Love Grows Where My Rosemary Goes
Carin Leon and Grupo Frontera,Que Vuelvas
Arijit Singh and Vishal Dadlani and Sukriti Kakar,Jhoome Jo Pathaan
Mc Pedrinho and DJ 900,"Gol Bolinha Gol Quadrado "
Post Malone,Overdrive
