1930,1,65
1942,1,23
1946,11,36
1950,1,60
1957,1,51
1958,1,71
1959,1,69
1959,11,45
1963,10,24
1963,11,43
1970,1,53
1970,11,50
1971,12,33
1973,1,39
1975,1,48
1979,11,75
1982,1,73
1982,5,66
1983,1,82
1984,1,72
1984,10,57
1985,2,64
1985,9,63
1986,1,51
1986,3,54
1987,1,45
1991,9,48
1992,9,53
1995,12,77
1996,11,89
1997,1,74
1998,3,32
1999,1,77
1999,11,78
2000,1,95
2000,7,37
2000,10,55
2002,1,84
2002,5,67
2002,8,56
2003,3,50
2003,9,35
2004,1,53
2004,5,81
2005,9,63
2008,1,64
2010,1,54
2010,5,68
2010,7,84
2010,10,52
2010,11,73
2011,1,59
2011,8,63
2011,10,50
2012,1,60
2012,6,63
2012,12,73
2013,1,60
2013,8,51
2013,9,57
2013,10,51
2014,1,65
2014,6,58
2014,8,58
2014,11,58
2014,12,70
2015,1,67
2015,2,45
2015,4,40
2015,5,35
2015,6,82
2015,7,47
2015,10,59
2015,11,61
2016,1,51
2016,4,75
2016,5,75
2016,6,64
2016,8,42
2016,9,71
2016,11,62
2017,1,73
2017,2,60
2017,3,62
2017,4,61
2017,6,55
2017,7,56
2017,8,55
2017,10,52
2017,11,71
2017,12,71
2018,3,48
2018,5,65
2018,9,54
2018,10,76
2018,11,57
2019,1,72
2019,4,65
2019,5,68
2019,6,73
2019,8,54
2019,9,62
2019,10,49
2019,11,59
2019,12,56
2020,1,67
2020,2,66
2020,3,65
2020,4,64
2020,5,60
2020,6,53
2020,7,67
2020,9,75
2020,10,70
2020,11,74
2020,12,62
2021,1,85
2021,3,70
2021,4,72
2021,5,60
2021,6,80
2021,7,67
2021,8,72
2021,9,67
2021,10,71
2021,11,63
2021,12,67
2022,1,66
2022,2,66
2022,3,74
2022,4,68
2022,5,69
2022,6,72
2022,7,70
2022,8,70
2022,9,73
2022,10,67
2022,11,71
2022,12,64
2023,1,66
2023,2,72
2023,3,70
2023,4,67
2023,5,72
2023,6,72
2023,7,65
